Date	Air temperature	Underground temperature	Fuel temperature (start of day)	Fuel volume (start of day)	Amount of sales	Supplier name	Driver name	Refill volume	Refill temperature	Fuel temperature (end of day)	Fuel volume (end of day)
2000-1-1	-0.7272210810553585	10.029540289059062	10.029540289059062	816.8140899333463	0.5269988472542607	 	 	0.0	-0.7272210810553585	10.029540289059062	816.287091086092	
2000-1-2	-0.05175177857463383	9.989650541370564	10.024957851588956	816.287091086092	0.8181464774493232	 	 	0.0	-0.05175177857463383	10.024957851588956	815.4689446086427	
2000-1-3	1.0979520596522512	9.949166521076839	10.016242086507521	815.4689446086427	0.9564738685701208	 	 	0.0	1.0979520596522512	10.016242086507521	814.5124707400726	
2000-1-4	1.1630288711746093	9.90810015900449	10.003791035869108	814.5124707400726	0.8156346526019909	 	 	0.0	1.1630288711746093	10.003791035869108	813.6968360874706	
2000-1-5	0.6874060986166027	9.866463557598909	9.987963405752584	813.6968360874707	0.5764214347265224	 	 	0.0	0.6874060986166027	9.987963405752584	813.1204146527443	
2000-1-6	0.7989764837459165	9.824268987357645	9.969083283992587	813.1204146527443	0.7067448294299638	 	 	0.0	0.7989764837459165	9.969083283992587	812.4136698233143	
2000-1-7	0.21868534026755426	9.78152888321421	9.947432088834816	812.4136698233142	0.8549371794295557	 	 	0.0	0.21868534026755426	9.947432088834816	811.5587326438846	
2000-1-8	-2.5668117282401273	9.73825584087348	9.923258997933571	811.5587326438846	0.7209702313946942	 	 	0.0	-2.5668117282401273	9.923258997933571	810.8377624124898	
2000-1-9	0.8361747531530251	9.694462613099649	9.896794794607036	810.8377624124897	0.5339897205470522	 	 	0.0	0.8361747531530251	9.896794794607036	810.3037726919428	
2000-1-10	-1.2935500678137322	9.65016210595795	9.86824880202728	810.3037726919429	0.6246207842961198	 	 	0.0	-1.2935500678137322	9.86824880202728	809.6791519076467	
2000-1-11	1.3924300960561595	9.605367375011175	9.837798680575897	809.6791519076467	0.7891982973339836	 	 	0.0	1.3924300960561595	9.837798680575897	808.8899536103128	
2000-1-12	-1.191530769742864	9.56009162147214	9.805599713387815	808.8899536103127	0.8746798662763272	 	 	0.0	-1.191530769742864	9.805599713387815	808.0152737440361	
2000-1-13	1.9788582961753456	9.514348188313226	9.77179349985992	808.0152737440362	0.659342132080253	 	 	0.0	1.9788582961753456	9.77179349985992	807.3559316119561	
2000-1-14	1.9510190348946994	9.468150556334143	9.736520365895123	807.3559316119561	0.9050140209560091	 	 	0.0	1.9510190348946994	9.736520365895123	806.450917591	
2000-1-15	2.1059404200696954	9.421512340189084	9.699885698483023	806.450917591	0.868530504922386	 	 	0.0	2.1059404200696954	9.699885698483023	805.5823870860777	
2000-1-16	-1.028364264115188	9.374447284374412	9.661997086448055	805.5823870860777	0.900024067336182	 	 	0.0	-1.028364264115188	9.661997086448055	804.6823630187414	
2000-1-17	-1.7839269582545025	9.3269692591781	9.622948291345397	804.6823630187413	0.6014946664080367	 	 	0.0	-1.7839269582545025	9.622948291345397	804.0808683523331	
2000-1-18	-2.8800518961109898	9.279092256592095	9.582841078420666	804.0808683523333	0.9347383219434736	 	 	0.0	-2.8800518961109898	9.582841078420666	803.1461300303898	
2000-1-19	-2.440798619313313	9.230830386188815	9.541734814108139	803.1461300303897	0.5190880119785745	 	 	0.0	-2.440798619313313	9.541734814108139	802.6270420184111	
2000-1-20	1.8955798078427308	9.182197870962986	9.499723329921833	802.6270420184112	0.817153072139891	 	 	0.0	1.8955798078427308	9.499723329921833	801.8098889462713	
2000-1-21	0.8601968291121853	9.133209043140063	9.45685312939756	801.8098889462713	0.6844756017398199	 	 	0.0	0.8601968291121853	9.45685312939756	801.1254133445316	
2000-1-22	1.761527753624322	9.083878339952463	9.413190549312015	801.1254133445316	0.7142784851992643	 	 	0.0	1.761527753624322	9.413190549312015	800.4111348593323	
2000-1-23	-1.8818381644847648	9.034220299384843	9.36878705588006	800.4111348593323	0.7361450891519556	 	 	0.0	-1.8818381644847648	9.36878705588006	799.6749897701804	
2000-1-24	-2.217998043141697	8.984249555889683	9.323690310310566	799.6749897701804	0.6041196306747478	 	 	0.0	-2.217998043141697	9.323690310310566	799.0708701395057	
2000-1-25	-2.2789899549951267	8.933980836074456	9.27795334812766	799.0708701395058	0.6000803172797043	 	 	0.0	-2.2789899549951267	9.27795334812766	798.4707898222262	
2000-1-26	2.0572958679820212	8.883428954361621	9.231617434069385	798.4707898222259	0.8932945407027276	 	 	0.0	2.0572958679820212	9.231617434069385	797.5774952815232	
2000-1-27	-1.5872249529962137	8.832608808622751	9.18470263809239	797.577495281523	0.7963194950947581	 	 	0.0	-1.5872249529962137	9.18470263809239	796.7811757864282	
2000-1-28	-3.6826022980158726	8.781535375788053	9.13725203206944	796.7811757864283	0.6160579521007501	 	 	0.0	-3.6826022980158726	9.13725203206944	796.1651178343276	
2000-1-29	-2.6817762687250255	8.730223707432613	9.089310939925218	796.1651178343276	0.6135966200706481	 	 	0.0	-2.6817762687250255	9.089310939925218	795.5515212142569	
2000-1-30	0.25130536835927536	8.678688925340609	9.040910316572921	795.5515212142569	0.8723684677264609	 	 	0.0	0.25130536835927536	9.040910316572921	794.6791527465305	
2000-1-31	-1.126539273403529	8.626946217048868	8.992062617227752	794.6791527465306	0.5065777078015273	 	 	0.0	-1.126539273403529	8.992062617227752	794.1725750387291	
2000-2-1	3.514135746328954	8.575010831371017	8.942820563263542	794.1725750387291	0.5278273689641795	 	 	0.0	3.514135746328954	8.942820563263542	793.6447476697649	
2000-2-2	-1.2134148354352308	8.5228980739036	8.89320794373808	793.6447476697649	0.8029015564666082	 	 	0.0	-1.2134148354352308	8.89320794373808	792.8418461132982	
2000-2-3	0.954138913480084	8.470623302515433	8.843230909761008	792.8418461132982	0.8396613629448657	 	 	0.0	0.954138913480084	8.843230909761008	792.0021847503534	
2000-2-4	0.6684229020123712	8.418201922821584	8.792912099668383	792.0021847503534	0.9891826521641143	 	 	0.0	0.6684229020123712	8.792912099668383	791.0130020981892	
